sno.,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
950,Central,Madhya Pradesh,Bhopal,Fletcher-Melendez Museum,Museum,1606,1,3.9,20,Yes,None,Religious,Yes,2.6,Winter
951,North-Eastern,Meghalaya,Shillong,"Luna, Carlson and Fields Park",Zoo,1890,2,3.7,0,Yes,Friday,Cultural,No,4.1,Evening
952,Northern,Punjab,Amritsar,"Brown, Hunt and Knapp Park",Zoo,1589,1,4.7,10,Yes,Thursday,Architectural,Yes,3.7,Afternoon
953,Western,Rajasthan,Jaipur,Shepherd and Sons Fort,War Memorial,1669,3,3.9,10,No,Wednesday,Religious,No,0.8,Afternoon
954,Western,Rajasthan,Jaipur,Richardson-Bell Temple,Tomb,1576,3,4,100,Yes,Thursday,Religious,Yes,3.6,Evening
955,Southern,Tamil Nadu,Chennai,"Mckenzie, Lara and Mcfarland Memorial",War Memorial,1702,6,4.3,100,Yes,Sunday,Natural,Yes,4.4,Winter
956,Western,Gujarat,Ahmedabad,Jarvis-Roberts Museum,Temple,1667,5,4.5,20,Yes,Monday,Natural,No,1.3,Evening
957,North-Eastern,Meghalaya,Shillong,Hickman-Martin Park,Theme Park,1880,2,3.6,30,Yes,Wednesday,Historical,No,3.6,Evening
958,North-Eastern,Meghalaya,Shillong,"Howard, Riley and Reynolds Memorial",Museum,1899,5,3.9,50,Yes,Thursday,Environmental,Yes,4.9,Morning
959,Northern,Delhi,Delhi,Malone-Dickerson Fort,Tomb,1618,1,3.8,30,Yes,Tuesday,Environmental,No,4.9,Summer
960,Eastern,West Bengal,Kolkata,"Hoover, Wade and Thompson Fort",Lake,1505,6,4.6,30,Yes,Sunday,Cultural,Yes,2.2,Evening
961,Central,Madhya Pradesh,Bhopal,Bailey and Sons Museum,Sanctuary,1785,4,4.4,10,No,Thursday,Religious,No,0.3,Evening
962,Southern,Kerala,Kochi,"Welch, Black and Simmons Temple",Zoo,1842,1,3.7,30,Yes,Monday,Cultural,Yes,0.9,Afternoon
963,Eastern,West Bengal,Kolkata,Forbes PLC Memorial,War Memorial,1736,2,3.9,10,Yes,Monday,Architectural,No,4.7,Afternoon
964,Northern,Punjab,Amritsar,Cameron-Copeland Museum,Zoo,1606,2,3.5,20,Yes,Saturday,Environmental,Yes,1.6,Summer
965,Central,Madhya Pradesh,Bhopal,Krause-Rowe Park,Zoo,1763,3,4.4,30,Yes,Wednesday,Natural,No,4.8,Winter
966,Eastern,West Bengal,Kolkata,Powell-Hart Memorial,Museum,1630,6,3.8,20,Yes,Saturday,Cultural,No,2.9,Winter
967,Northern,Uttar Pradesh,Agra,Cisneros and Sons Museum,Sanctuary,1563,3,3.8,100,Yes,Friday,Religious,No,2.7,Summer
968,Central,Madhya Pradesh,Bhopal,"Foster, Bailey and Rodriguez Park",War Memorial,1566,5,4.1,50,Yes,Wednesday,Historical,No,1.6,Afternoon
969,Central,Madhya Pradesh,Bhopal,Alvarez-Gonzalez Fort,Sanctuary,1569,2,3.7,10,Yes,Friday,Historical,No,4,Afternoon
970,Northern,Delhi,Delhi,Thornton-Merritt Park,Zoo,2008,6,4.8,100,Yes,Sunday,Architectural,Yes,0.6,Morning
971,Southern,Kerala,Kochi,Aguilar Inc Park,Museum,1966,6,3.6,50,Yes,Sunday,Natural,Yes,0.6,Evening
972,North-Eastern,Assam,Guwahati,Smith PLC Fort,Temple,1817,3,4.5,20,Yes,Wednesday,Natural,No,4.8,Afternoon
973,Northern,Uttar Pradesh,Agra,"Griffith, Vang and Meyer Fort",Theme Park,1607,6,3.8,10,Yes,Wednesday,Religious,No,4.4,Winter
974,Central,Madhya Pradesh,Bhopal,"Matthews, Trujillo and Miller Temple",War Memorial,1831,3,4,30,Yes,Sunday,Natural,No,1.6,Summer
975,Northern,Delhi,Delhi,Webster Ltd Fort,Fort,1521,4,4.2,30,Yes,Friday,Environmental,No,1,Morning
976,Southern,Tamil Nadu,Chennai,Leblanc Group Temple,Temple,1817,2,3.7,50,Yes,Wednesday,Cultural,Yes,1.6,Summer
977,Southern,Tamil Nadu,Chennai,Simmons-Smith Museum,War Memorial,1858,6,5,10,Yes,Saturday,Religious,No,2.1,Winter
978,Eastern,Odisha,Bhubaneswar,Johnson-Kennedy Park,Zoo,1849,5,4.6,30,No,Thursday,Religious,No,4.4,Morning
979,Northern,Punjab,Amritsar,Hodges Group Museum,Sanctuary,1782,6,5,50,Yes,Sunday,Religious,No,2.8,Afternoon
980,North-Eastern,Meghalaya,Shillong,Rodriguez-Mcdonald Memorial,War Memorial,1747,3,3.7,50,Yes,None,Historical,Yes,3.5,Afternoon
981,Central,Madhya Pradesh,Bhopal,"Riley, Navarro and Curtis Memorial",Zoo,1838,6,4.2,10,No,Sunday,Natural,Yes,1.7,Summer
982,Northern,Uttar Pradesh,Agra,"Chapman, Wilson and Harvey Park",Temple,1688,4,4.3,10,Yes,Wednesday,Natural,Yes,4.8,Winter
983,Eastern,West Bengal,Kolkata,"Nelson, Ferguson and Matthews Museum",Fort,1566,4,5,50,Yes,Tuesday,Religious,Yes,1.1,Morning
984,Western,Gujarat,Ahmedabad,Mccoy LLC Park,Lake,1607,6,4.2,50,Yes,Saturday,Environmental,Yes,1,Afternoon
985,North-Eastern,Meghalaya,Shillong,"Wells, Wagner and Curry Fort",Theme Park,1505,4,4.6,10,Yes,Thursday,Natural,Yes,3.8,Evening
986,Southern,Kerala,Kochi,Lang and Sons Temple,War Memorial,1658,2,4.8,0,Yes,Tuesday,Historical,No,1.3,Afternoon
987,Eastern,West Bengal,Kolkata,Peters Ltd Memorial,Museum,1772,1,4.4,10,Yes,Friday,Architectural,No,2.5,Morning
988,North-Eastern,Assam,Guwahati,Rivera LLC Fort,Sanctuary,1947,5,4.3,10,Yes,Saturday,Historical,No,2,Evening
989,Western,Maharashtra,Mumbai,"Riggs, Rose and Gillespie Fort",Temple,1942,5,4.5,20,Yes,Tuesday,Natural,Yes,3.2,Morning
990,Northern,Punjab,Amritsar,Miller-Kramer Museum,Temple,1860,1,4,20,Yes,Friday,Environmental,No,0.2,Summer
991,Northern,Delhi,Delhi,Ashley-Peterson Memorial,Fort,1746,4,3.7,10,Yes,Sunday,Environmental,No,0.9,Winter
992,Western,Rajasthan,Jaipur,"Bowers, Larsen and Garrett Fort",Theme Park,1915,4,3.8,100,No,Tuesday,Religious,Yes,4.4,Evening
993,Northern,Uttar Pradesh,Agra,"Hamilton, Lynch and Lopez Park",Sanctuary,1705,4,4.1,30,Yes,Wednesday,Natural,No,1.3,Summer
994,Southern,Kerala,Kochi,Patterson and Sons Fort,Sanctuary,1914,4,4.2,100,Yes,Thursday,Historical,Yes,0.7,Afternoon
995,Southern,Tamil Nadu,Chennai,"Garza, Price and Silva Park",Temple,1742,1,4.6,0,Yes,Friday,Environmental,No,1.4,Evening
996,Northern,Delhi,Delhi,"Harris, Jones and Brewer Park",Sanctuary,1672,1,3.7,30,Yes,None,Historical,Yes,0.9,Summer
997,Southern,Kerala,Kochi,Brown LLC Fort,Temple,1634,2,3.7,20,Yes,Sunday,Religious,Yes,1.6,Morning
998,Northern,Delhi,Delhi,Pittman PLC Park,War Memorial,1753,5,3.9,10,Yes,Saturday,Architectural,Yes,4.2,Morning
999,North-Eastern,Meghalaya,Shillong,"Kennedy, Johnson and Valdez Museum",Temple,1829,2,4,10,Yes,Sunday,Natural,Yes,2.8,Summer
1000,North-Eastern,Assam,Guwahati,Smith-Moore Temple,Theme Park,1581,3,4.4,100,Yes,Friday,Architectural,No,2.6,Evening
1001,Western,Rajasthan,Jaipur,Gay LLC Memorial,Museum,1737,6,4.3,20,Yes,Thursday,Religious,No,4.3,Afternoon
1002,North-Eastern,Assam,Guwahati,Padilla-Swanson Memorial,Sanctuary,1634,3,3.9,10,Yes,Monday,Historical,Yes,1.6,Evening
1003,North-Eastern,Meghalaya,Shillong,"Smith, Braun and Zamora Fort",Hill Station,1590,2,3.9,0,Yes,Thursday,Religious,Yes,3.6,Morning
1004,Central,Madhya Pradesh,Bhopal,Young Inc Park,Temple,1675,3,3.6,100,Yes,None,Architectural,Yes,3.4,Morning
